place_id,name,type,source,lat,lng,ward_number,population,households,area_sqkm,population_density,population_density_proxy,rating,review_count,price_level,has_rating,log_review_count,rating_review_signal,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,education_points_within_500m,education_points_within_200m,education_students_within_500m,education_intensity_score,accessibility_score,foot_traffic_score,competition_pressure,location_density_score,ward_population_log,road_feature_source,is_operational,computed_schools_within_500m,computed_schools_within_200m,computed_schools_min_distance,computed_hospitals_within_500m,computed_hospitals_within_200m,computed_hospitals_min_distance,computed_bus_stops_within_500m,computed_bus_stops_within_200m,computed_bus_stops_min_distance,computed_competitors_within_500m,computed_competitors_within_200m,computed_competitors_min_distance,computed_competitors_avg_distance,dataset_count_raw_files,combined_at,observed_outcome_score,observed_outcome_confidence,observed_outcome_tier,labeling_version
osm_6712227786,Unknown Cafe,cafe,openstreetmap,27.711069,85.3281932,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,14.0,3.0,0.0,353.09,19.0,302.36,13.0,1.0,170.23,1.0,90.63,2.0,242.35,15,3,7764,8.3915,3.33,8.4,9.41,5.6148,8.7365,enriched,True,38,4,147.74,15,4,69.12,0,0,1245.02,13,2,163.25,3717.67,8,2026-03-23T08:50:30.648265+00:00,47.565,0.7631,medium_outcome,observed_outcome_v1
osm_6822853485,Unknown Cafe,cafe,openstreetmap,27.7137079,85.3246322,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,15.0,2.0,0.0,343.81,17.0,375.32,4.0,1.0,71.55,2.0,218.07,1.0,437.66,4,1,2791,3.4369,1.66,5.8,10.0,4.2038,8.7365,enriched,True,9,2,71.55,11,2,128.25,0,0,964.93,14,1,33.63,3795.07,8,2026-03-23T08:50:30.648265+00:00,32.4281,0.6675,low_outcome,observed_outcome_v1
osm_9521404017,Unknown Cafe,cafe,openstreetmap,27.7176564,85.3277502,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,18.0,6.0,0.0,248.01,14.0,366.71,12.0,1.0,112.92,3.0,270.05,1.0,270.59,13,1,4016,6.6597,2.21,8.6,10.0,5.3488,8.7365,enriched,True,25,2,110.04,17,2,61.48,0,0,1413.04,17,5,43.43,3969.59,8,2026-03-23T08:50:30.648265+00:00,41.2469,0.7233,medium_outcome,observed_outcome_v1
osm_10892458506,Unknown Cafe,cafe,openstreetmap,27.7162159,85.3250332,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,16.0,6.0,0.0,269.16,7.0,310.09,9.0,1.0,199.3,2.0,74.2,0.0,500.0,11,0,3756,5.4963,1.6,7.0,10.0,4.6058,8.7365,enriched,True,20,1,199.3,11,2,74.2,0,0,1101.7,15,5,113.48,3898.08,8,2026-03-23T08:50:30.648265+00:00,38.0507,0.7045,low_outcome,observed_outcome_v1
osm_13261607701,Unknown Cafe,cafe,openstreetmap,27.7116394,85.3261359,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,14.0,1.0,0.0,315.79,23.0,345.5,6.0,1.0,94.11,3.0,257.06,1.0,184.61,10,2,4126,6.0651,2.7,6.8,9.41,4.8658,8.7365,enriched,True,21,4,28.45,13,0,205.87,0,0,1084.67,13,0,205.05,3724.79,8,2026-03-23T08:50:30.648265+00:00,39.6265,0.715,low_outcome,observed_outcome_v1
osm_10216528287,Vista B Coffee,cafe,openstreetmap,27.7104389,85.3185484,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,26.0,6.0,0.0,275.75,31.0,306.19,9.0,1.0,148.81,3.0,379.99,3.0,229.39,8,1,14153,5.1616,3.69,6.8,10.0,5.1628,8.7365,enriched,True,21,2,145.08,7,0,330.42,1,0,362.46,24,5,74.73,3728.72,8,2026-03-23T08:50:30.648265+00:00,40.6685,0.7272,medium_outcome,observed_outcome_v1
osm_3329427562,एक्सप्रेसो डिलाईट,cafe,openstreetmap,27.7094121,85.3166482,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,25.0,10.0,0.0,251.35,29.0,318.12,14.0,7.0,73.27,4.0,258.75,4.0,14.69,12,4,16053,7.9367,3.98,10.0,10.0,6.3698,8.7365,enriched,True,28,12,73.27,14,0,228.58,3,0,288.23,23,9,10.73,3733.38,8,2026-03-23T08:50:30.648265+00:00,49.875,0.7689,medium_outcome,observed_outcome_v1
osm_3069572516,गौतम बेकरी,cafe,openstreetmap,27.7070868,85.3230587,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,22.0,12.0,0.0,193.72,9.0,315.64,19.0,2.0,46.23,7.0,155.54,2.0,45.12,20,1,17898,9.4085,3.37,10.0,10.0,6.1868,8.7365,enriched,True,48,5,46.23,19,4,21.03,0,0,620.96,21,11,12.0,3609.49,8,2026-03-23T08:50:30.648265+00:00,52.7016,0.791,medium_outcome,observed_outcome_v1
osm_2212506691,बेकरी क्याफे,cafe,openstreetmap,27.7098873,85.3181147,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,26.0,9.0,0.0,266.55,28.0,294.99,14.0,1.0,76.47,4.0,352.9,3.0,161.9,14,1,20803,7.3386,4.0,8.7,10.0,5.9208,8.7365,enriched,True,33,2,73.93,12,0,344.25,2,0,352.5,24,8,74.73,3720.19,8,2026-03-23T08:50:30.648265+00:00,47.4349,0.76,medium_outcome,observed_outcome_v1
osm_3509030388,मामामिया,cafe,openstreetmap,27.7088719,85.3150246,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,36.0,8.0,0.0,337.03,18.0,273.21,19.0,8.0,38.25,5.0,240.01,3.0,41.12,14,5,16463,9.0918,5.46,10.0,10.0,6.8138,8.7365,enriched,True,35,15,38.25,27,1,186.0,3,0,305.9,35,7,30.52,3756.09,8,2026-03-23T08:50:30.648265+00:00,53.6525,0.7862,medium_outcome,observed_outcome_v1
osm_3509034495,स्टार क्याफे,cafe,openstreetmap,27.7094937,85.3165901,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,26.0,12.0,0.0,257.51,29.0,315.17,14.0,7.0,78.02,4.0,248.37,4.0,23.64,12,4,16053,7.9367,4.0,10.0,10.0,6.3758,8.7365,enriched,True,28,12,78.02,14,0,218.93,3,0,277.5,24,11,10.73,3736.41,8,2026-03-23T08:50:30.648265+00:00,49.8919,0.7689,medium_outcome,observed_outcome_v1
osm_3325075145,हिमालय जाभा क्याफे,cafe,openstreetmap,27.7099111,85.3170338,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,28.0,9.0,0.0,269.12,27.0,280.14,13.0,5.0,63.51,4.0,256.74,4.0,80.96,11,2,16053,6.6867,4.18,10.0,10.0,6.4298,8.7365,enriched,True,26,8,57.95,12,0,240.3,2,0,267.9,26,8,63.73,3738.48,8,2026-03-23T08:50:30.648265+00:00,46.993,0.7502,medium_outcome,observed_outcome_v1
osm_11359724668,Bahavana coffee,cafe,openstreetmap,27.7212304,85.3210548,2.0,11542.0,2564.0,1.4,8244.0,8.244,0.0,0.0,0.0,0,0.0,0.0,14.0,6.0,0.0,262.38,2.0,424.71,11.0,1.0,190.0,1.0,330.09,2.0,357.6,10,1,1045,5.3405,0.58,6.3,9.41,5.2644,9.3538,enriched,True,22,3,73.6,8,1,103.95,0,0,901.04,13,5,59.76,4184.12,8,2026-03-23T08:50:30.648265+00:00,38.3253,0.7111,low_outcome,observed_outcome_v1
