place_id,name,type,source,lat,lng,ward_number,population,households,area_sqkm,population_density,population_density_proxy,rating,review_count,price_level,has_rating,log_review_count,rating_review_signal,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,education_points_within_500m,education_points_within_200m,education_students_within_500m,education_intensity_score,accessibility_score,foot_traffic_score,competition_pressure,location_density_score,ward_population_log,road_feature_source,is_operational,computed_schools_within_500m,computed_schools_within_200m,computed_schools_min_distance,computed_hospitals_within_500m,computed_hospitals_within_200m,computed_hospitals_min_distance,computed_bus_stops_within_500m,computed_bus_stops_within_200m,computed_bus_stops_min_distance,computed_competitors_within_500m,computed_competitors_within_200m,computed_competitors_min_distance,computed_competitors_avg_distance,dataset_count_raw_files,combined_at
osm_10049306624,Tea Time Cafe,cafe,openstreetmap,27.6820774,85.3794082,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,299.31,6088.34,8.0,1500.0,0.0,0.0,1624.35,0.0,2082.41,0.0,3757.03,0,0,0,0.0,0.0,5.57125,0.6,7.0963,10.5348,fallback,True,0,0,1624.35,0,0,2082.41,0,0,3757.03,2,0,299.31,6088.34,8,2026-03-23T08:50:30.648265+00:00
osm_10049362169,Satkar Food Land,cafe,openstreetmap,27.6761743,85.3979181,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,10.0,5.0,16.94,7715.17,8.0,1500.0,0.0,0.0,3485.61,0.0,4018.32,0.0,5451.53,0,0,0,0.0,0.0,5.57125,3.0,7.0963,10.5348,fallback,True,0,0,3485.61,0,0,4018.32,0,0,5451.53,10,5,16.94,7715.17,8,2026-03-23T08:50:30.648265+00:00
osm_10050457883,Unknown Cafe,cafe,openstreetmap,27.6785413,85.398716,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,10.0,3.0,91.31,7711.47,8.0,1500.0,0.0,0.0,3425.81,0.0,4005.05,0.0,5553.26,0,0,0,0.0,0.0,5.57125,3.0,7.0963,10.5348,fallback,True,0,0,3425.81,0,0,4005.05,0,0,5553.26,10,3,91.31,7711.47,8,2026-03-23T08:50:30.648265+00:00
osm_10050668230,Coffee Station,cafe,openstreetmap,27.6718882,85.3879077,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,16.0,1.0,9.02,7071.35,8.0,1500.0,0.0,0.0,2885.69,0.0,3370.67,0.0,4455.42,0,0,0,0.0,0.0,5.57125,4.8,7.0963,10.5348,fallback,True,0,0,2885.69,0,0,3370.67,0,0,4455.42,16,1,9.02,7071.35,8,2026-03-23T08:50:30.648265+00:00
osm_10050716135,Puspanjali Top Momo Centre,cafe,openstreetmap,27.6651796,85.36672,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,4.0,4.0,36.71,6061.25,8.0,1500.0,0.0,0.0,1624.85,0.0,1728.4,0.0,2519.5,0,0,0,0.0,0.0,5.57125,1.2,7.0963,10.5348,fallback,True,0,0,1624.85,0,0,1728.4,0,0,2519.5,4,4,36.71,6061.25,8,2026-03-23T08:50:30.648265+00:00
osm_10050716152,Shrestha Food & Cafe,cafe,openstreetmap,27.6651059,85.3670834,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,4.0,4.0,13.07,6085.8,8.0,1500.0,0.0,0.0,1659.59,0.0,1765.11,0.0,2555.93,0,0,0,0.0,0.0,5.57125,1.2,7.0963,10.5348,fallback,True,0,0,1659.59,0,0,1765.11,0,0,2555.93,4,4,13.07,6085.8,8,2026-03-23T08:50:30.648265+00:00
osm_10050716166,Unknown Cafe,cafe,openstreetmap,27.6650548,85.3673878,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,4.0,4.0,21.19,6105.86,8.0,1500.0,0.0,0.0,1688.14,0.0,1795.58,0.0,2586.06,0,0,0,0.0,0.0,5.57125,1.2,7.0963,10.5348,fallback,True,0,0,1688.14,0,0,1795.58,0,0,2586.06,4,4,21.19,6105.86,8,2026-03-23T08:50:30.648265+00:00
osm_10050716182,Ba Ko Chiya Pasal,cafe,openstreetmap,27.6650705,85.3685561,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,4.0,4.0,115.07,6170.35,8.0,1500.0,0.0,0.0,1786.7,0.0,1907.15,0.0,2694.03,0,0,0,0.0,0.0,5.57125,1.2,7.0963,10.5348,fallback,True,0,0,1786.7,0,0,1907.15,0,0,2694.03,4,4,115.07,6170.35,8,2026-03-23T08:50:30.648265+00:00
osm_10050868004,Jugal Cafe,cafe,openstreetmap,27.6895882,85.3890561,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,487.73,6697.59,8.0,1500.0,0.0,0.0,2127.25,0.0,2870.14,0.0,4927.97,0,0,0,0.0,0.0,5.57125,0.3,7.0963,10.5348,fallback,True,0,0,2127.25,0,0,2870.14,0,0,4927.97,1,0,487.73,6697.59,8,2026-03-23T08:50:30.648265+00:00
osm_10050956436,Khotangey Khajaghar Tatha Bhojanalaya,cafe,openstreetmap,27.6798988,85.3973038,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,10.0,2.0,113.96,7552.2,8.0,1500.0,0.0,0.0,3234.21,0.0,3828.52,0.0,5434.52,0,0,0,0.0,0.0,5.57125,3.0,7.0963,10.5348,fallback,True,0,0,3234.21,0,0,3828.52,0,0,5434.52,10,2,113.96,7552.2,8,2026-03-23T08:50:30.648265+00:00
osm_10050956440,Dharaney Numbari Sekuwa Corner,cafe,openstreetmap,27.6791565,85.3981018,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,10.0,3.0,91.31,7640.96,8.0,1500.0,0.0,0.0,3341.05,0.0,3927.13,0.0,5501.34,0,0,0,0.0,0.0,5.57125,3.0,7.0963,10.5348,fallback,True,0,0,3341.05,0,0,3927.13,0,0,5501.34,10,3,91.31,7640.96,8,2026-03-23T08:50:30.648265+00:00
